method,analysis,algorithm,k,n_proteins
AlcoR,carriers,pam,2,968
AlcoR,carriers,hierarchical,2,968
AlcoR,carriers,pam,3,968
AlcoR,carriers,hierarchical,3,968
AlcoR,carriers,pam,4,968
AlcoR,carriers,hierarchical,4,968
AlcoR,carriers,pam,5,968
AlcoR,carriers,hierarchical,5,968
AlcoR,carriers,pam,6,968
AlcoR,carriers,hierarchical,6,968
CAST,carriers,pam,2,1055
CAST,carriers,hierarchical,2,1055
CAST,carriers,pam,3,1055
CAST,carriers,hierarchical,3,1055
CAST,carriers,pam,4,1055
CAST,carriers,hierarchical,4,1055
CAST,carriers,pam,5,1055
CAST,carriers,hierarchical,5,1055
CAST,carriers,pam,6,1055
CAST,carriers,hierarchical,6,1055
FLPS,carriers,pam,2,1697
FLPS,carriers,hierarchical,2,1697
FLPS,carriers,pam,3,1697
FLPS,carriers,hierarchical,3,1697
FLPS,carriers,pam,4,1697
FLPS,carriers,hierarchical,4,1697
FLPS,carriers,pam,5,1697
FLPS,carriers,hierarchical,5,1697
FLPS,carriers,pam,6,1697
FLPS,carriers,hierarchical,6,1697
LCRFinder,carriers,pam,2,1008
LCRFinder,carriers,hierarchical,2,1008
LCRFinder,carriers,pam,3,1008
LCRFinder,carriers,hierarchical,3,1008
LCRFinder,carriers,pam,4,1008
LCRFinder,carriers,hierarchical,4,1008
LCRFinder,carriers,pam,5,1008
LCRFinder,carriers,hierarchical,5,1008
LCRFinder,carriers,pam,6,1008
LCRFinder,carriers,hierarchical,6,1008
SEG,carriers,pam,2,296
SEG,carriers,hierarchical,2,296
SEG,carriers,pam,3,296
SEG,carriers,hierarchical,3,296
SEG,carriers,pam,4,296
SEG,carriers,hierarchical,4,296
SEG,carriers,pam,5,296
SEG,carriers,hierarchical,5,296
SEG,carriers,pam,6,296
SEG,carriers,hierarchical,6,296
SEG_intermediate,carriers,pam,2,622
SEG_intermediate,carriers,hierarchical,2,622
SEG_intermediate,carriers,pam,3,622
SEG_intermediate,carriers,hierarchical,3,622
SEG_intermediate,carriers,pam,4,622
SEG_intermediate,carriers,hierarchical,4,622
SEG_intermediate,carriers,pam,5,622
SEG_intermediate,carriers,hierarchical,5,622
SEG_intermediate,carriers,pam,6,622
SEG_intermediate,carriers,hierarchical,6,622
